@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,2,-1,-1,1,16,1,0,1,0,-1,True,True,False,False,1,1,10,4,347,East,East,546
4,1,-1,-1,-1,15,8,7,15,0,-1,True,False,False,False,1,4,9,5,546,East,East,545
4,1,-1,-1,-1,16,9,7,16,0,-1,True,True,False,False,1,1,10,4,545,East,West,544
4,1,-1,-1,-1,17,10,7,17,0,-1,True,True,False,False,1,1,11,3,544,West,West,543
4,1,-1,-1,-1,18,11,7,18,0,-1,False,False,False,False,13,4,12,2,543,West,West,542
4,1,-1,-1,-1,17,11,6,17,0,-1,False,False,True,False,12,5,1,2,542,West,North,541
4,1,-1,-1,-1,16,11,5,16,0,-1,False,False,False,False,11,6,12,2,541,North,North,540
4,1,-1,-1,-1,15,11,4,15,0,-1,False,False,True,False,10,7,1,2,540,North,North,539
4,1,-1,-1,-1,14,11,3,14,0,-1,False,False,False,False,9,8,12,2,539,North,North,538
4,1,-1,-1,-1,13,11,2,13,0,-1,False,False,False,False,8,9,7,2,538,North,North,537
4,1,-1,-1,-1,12,10,2,12,0,-1,False,False,False,False,2,2,6,3,537,North,East,536
4,1,-1,-1,-1,11,9,2,11,0,-1,False,False,False,False,2,2,5,4,536,East,East,535
4,1,-1,-1,-1,10,8,2,10,0,-1,False,False,False,False,8,2,4,5,535,East,East,534
4,1,-1,-1,-1,9,7,2,9,0,-1,False,False,False,False,4,2,3,6,534,East,East,533
4,1,-1,-1,-1,8,6,2,8,0,-1,False,False,False,False,4,2,2,7,533,East,East,532
4,1,-1,-1,-1,7,5,2,7,0,-1,False,False,True,False,8,2,1,8,532,East,East,531
4,1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,7,3,1,20,531,East,North,530
4,1,-1,-1,-1,5,5,0,5,0,-1,False,False,True,False,6,4,1,4,530,North,North,529
4,1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,5,5,1,9,529,North,North,528
4,1,-1,-1,-1,7,5,2,7,0,-1,False,False,False,True,4,6,6,1,528,North,North,527
4,1,-1,-1,-1,6,4,2,6,0,-1,False,True,False,False,4,1,5,2,527,North,East,526
4,1,-1,-1,-1,5,3,2,5,0,-1,False,False,False,False,2,3,4,3,526,East,East,525
