@relation pacman-weka.filters.unsupervised.attribute.Remove-R24-31

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
20,12,4,4,1,8,2,6,18,4,28,6,23,24,10,14,18,4,2,8,10,332,1,493,South,South,592
20,11,4,4,1,8,2,6,18,4,28,6,22,23,9,13,18,4,2,7,9,331,1,592,South,South,691
21,11,4,4,1,8,2,6,18,4,28,6,23,24,10,12,18,4,3,7,10,330,1,691,South,East,790
22,11,4,4,1,8,2,6,18,4,28,6,24,25,11,11,18,4,4,7,11,329,1,790,East,East,889
23,11,4,4,1,8,2,6,18,4,28,6,25,26,12,10,28,6,5,5,10,328,1,889,East,East,988
24,11,4,4,1,8,2,6,18,4,28,6,26,27,13,9,28,6,4,5,9,327,1,988,East,East,1087
25,11,4,4,1,8,2,6,18,4,28,6,27,28,14,8,28,6,3,5,8,326,1,1087,East,East,1186
26,11,4,4,1,8,2,6,18,4,28,6,28,29,15,7,28,6,2,5,7,325,1,1186,East,East,1285
27,11,4,4,1,8,2,6,18,4,28,6,29,30,16,6,28,6,1,5,6,324,1,1285,East,East,1384
28,11,4,4,1,8,2,6,18,4,28,6,30,31,17,5,28,6,0,5,5,323,1,1384,East,East,1483
28,10,4,4,1,8,2,6,18,4,28,6,29,30,16,4,28,6,0,4,4,322,1,1483,East,South,1582
28,9,4,4,1,8,2,6,18,4,28,6,28,29,15,3,28,6,0,3,3,321,1,1582,South,South,1681
28,8,4,4,1,8,2,6,18,4,28,6,27,28,14,2,28,6,0,2,2,320,1,1681,South,South,1780
28,7,4,4,1,8,2,6,18,4,28,6,28,27,13,1,28,6,0,1,1,319,1,1780,South,South,1979
28,6,4,3,1,8,2,6,18,4,7,1,29,26,12,-1,18,4,10,2,12,319,1,1979,South,South,2078
28,5,4,3,1,8,2,6,18,4,7,1,30,27,11,-1,18,4,10,1,11,318,1,2078,South,South,2177
28,4,4,3,1,8,2,6,18,4,7,1,31,28,10,-1,18,4,10,0,10,317,1,2177,South,South,2276
27,4,4,3,1,8,2,6,18,4,7,1,30,27,9,-1,18,4,9,0,9,316,1,2276,South,West,2375
26,4,4,3,1,8,2,6,18,4,7,1,29,26,8,-1,18,4,8,0,8,315,1,2375,West,West,2474
25,4,4,3,1,8,2,6,18,4,7,1,28,25,7,-1,18,4,7,0,7,314,1,2474,West,West,2573
24,4,4,3,1,8,2,6,18,4,7,1,27,24,6,-1,18,4,6,0,6,313,1,2573,West,West,2672
23,4,4,3,1,8,2,6,18,4,7,1,26,23,5,-1,18,4,5,0,5,312,1,2672,West,West,2771
22,4,4,3,1,8,2,6,18,4,7,1,25,22,4,-1,18,4,4,0,4,311,1,2771,West,West,2870
21,4,4,3,1,8,2,6,18,4,7,1,24,21,3,-1,18,4,3,0,3,310,1,2870,West,West,2969
20,4,4,3,1,8,2,6,18,4,7,1,23,20,2,-1,18,4,2,0,2,309,1,2969,West,West,3068
20,3,4,3,1,8,2,6,18,4,7,1,24,21,3,-1,18,4,2,1,3,308,1,3068,West,South,3167
19,3,4,3,1,8,2,6,18,4,7,1,23,20,2,-1,18,4,1,1,2,307,1,3167,South,West,3266
18,3,4,3,1,8,2,6,18,4,7,1,22,19,1,-1,18,4,0,1,1,306,1,3266,West,West,3465
18,4,4,2,1,8,2,6,5,1,7,1,21,18,-1,-1,2,6,16,2,18,306,1,3465,West,North,3564
17,4,4,2,1,8,2,6,5,1,7,1,20,17,-1,-1,2,6,15,2,17,305,1,3564,North,West,3663
16,4,4,2,1,8,2,6,5,1,7,1,19,16,-1,-1,2,6,14,2,16,304,1,3663,West,West,3762
15,4,4,2,1,8,2,6,5,1,7,1,18,15,-1,-1,2,6,13,2,15,303,1,3762,West,West,3861
14,4,4,2,1,8,2,6,5,1,7,1,17,14,-1,-1,2,6,12,2,14,302,1,3861,West,West,3960
13,4,4,2,1,8,2,6,5,1,7,1,16,13,-1,-1,2,6,11,2,13,301,1,3960,West,West,4059
12,4,4,2,1,8,2,6,5,1,7,1,15,12,-1,-1,2,6,10,2,12,300,1,4059,West,West,4158
11,4,4,2,1,8,2,6,5,1,7,1,14,11,-1,-1,2,6,9,2,11,299,1,4158,West,West,4257
10,4,4,2,1,8,2,6,5,1,7,1,13,10,-1,-1,2,6,8,2,10,298,1,4257,West,West,4356
9,4,4,2,1,8,2,6,5,1,7,1,12,9,-1,-1,2,6,7,2,9,297,1,4356,West,West,4455
8,4,4,2,1,8,2,6,5,1,7,1,11,8,-1,-1,2,6,6,2,8,296,1,4455,West,West,4554
7,4,4,2,1,8,2,6,5,1,7,1,10,7,-1,-1,2,6,5,2,7,295,1,4554,West,West,4653
6,4,4,2,1,8,2,6,5,1,7,1,9,6,-1,-1,2,6,4,2,6,294,1,4653,West,West,4752
5,4,4,2,1,8,2,6,5,1,7,1,8,5,-1,-1,2,6,3,2,5,293,1,4752,West,West,4851
4,4,4,2,1,8,2,6,5,1,7,1,7,4,-1,-1,2,6,2,2,4,292,1,4851,West,West,4950
3,4,4,2,1,8,2,6,5,1,7,1,6,3,-1,-1,2,6,1,2,3,291,1,4950,West,West,5049
2,4,4,2,1,8,2,6,5,1,7,1,5,2,-1,-1,2,6,0,2,2,290,1,5049,West,West,5148
2,5,4,2,1,8,2,6,5,1,7,1,4,1,-1,-1,2,6,0,1,1,289,1,5148,West,North,5347
2,6,4,1,1,8,3,1,5,1,7,1,3,-1,-1,-1,1,8,1,2,3,289,1,5347,North,North,5446
2,7,4,1,1,8,3,1,5,1,7,1,2,-1,-1,-1,1,8,1,1,2,288,1,5446,North,North,5545
13,11,4,4,6,6,6,11,13,7,14,11,12,7,4,1,14,11,1,0,1,1,7,-3,North,East,196
14,11,4,3,6,5,7,11,13,6,7,1,14,7,6,-1,13,6,1,5,6,1,6,196,East,East,195
14,10,4,3,7,5,8,11,13,6,7,1,12,7,5,-1,13,6,1,4,5,1,5,195,East,South,194
14,9,4,3,7,4,8,11,14,6,7,1,12,8,3,-1,14,6,0,3,3,1,4,194,South,South,193
14,8,4,3,7,5,9,11,14,5,7,1,10,8,3,-1,14,5,0,3,3,1,5,193,South,South,192
14,7,4,3,6,5,9,10,14,4,7,1,10,8,3,-1,14,4,0,3,3,1,6,192,South,South,191
14,6,4,3,7,5,10,10,15,4,7,1,8,8,3,-1,15,4,1,2,3,1,7,191,South,South,190
14,5,4,3,7,4,9,10,15,3,7,1,8,10,3,-1,15,3,1,2,3,1,8,190,South,South,189
14,4,4,3,7,4,8,10,15,3,7,1,7,12,2,-1,15,3,1,1,2,1,9,189,South,South,188
15,4,4,3,7,4,9,10,16,3,7,1,8,12,2,-1,16,3,1,1,2,1,8,188,South,East,187
15,3,4,3,6,4,8,10,16,4,7,1,10,14,2,-1,16,4,1,1,2,1,9,187,East,South,186
16,3,4,3,6,4,8,10,16,5,7,1,11,15,2,-1,16,5,0,2,2,1,8,186,South,East,185
16,4,4,3,5,4,8,9,16,6,7,1,11,13,2,-1,16,6,0,2,2,1,7,185,East,North,184
16,5,4,3,5,3,8,10,16,7,7,1,13,13,2,-1,16,7,0,2,2,1,6,184,North,North,183
16,6,4,3,4,3,8,9,16,8,7,1,15,11,2,-1,16,8,0,2,2,1,5,183,North,North,182
16,7,4,3,4,3,8,8,15,8,7,1,16,9,2,-1,15,8,1,1,2,1,4,182,North,North,181
16,8,4,3,5,3,8,7,15,9,7,1,16,9,2,-1,15,9,1,1,2,1,3,181,North,North,180
15,8,4,3,5,4,8,6,15,9,7,1,14,9,1,-1,15,9,0,1,1,1,4,180,North,West,379
15,9,4,2,4,4,8,7,5,1,7,1,16,9,-1,-1,8,7,7,2,9,1,3,379,West,North,378
15,10,4,2,4,4,8,7,5,1,7,1,17,10,-1,-1,8,7,7,3,10,1,4,378,North,North,377
14,10,4,2,4,4,8,8,5,1,7,1,16,8,-1,-1,8,8,6,2,8,1,5,377,North,West,376
13,10,4,2,4,5,8,7,5,1,7,1,14,8,-1,-1,8,7,5,3,8,1,6,376,West,West,375
12,10,4,2,4,5,9,7,5,1,7,1,13,6,-1,-1,9,7,3,3,6,1,7,375,West,West,374
11,10,4,2,4,4,9,8,5,1,7,1,13,4,-1,-1,9,8,2,2,4,1,8,374,West,West,373
10,10,4,2,3,4,9,8,5,1,7,1,13,3,-1,-1,9,8,1,2,3,1,9,373,West,West,372
10,9,4,2,4,4,10,8,5,1,7,1,11,1,-1,-1,10,8,0,1,1,1,8,372,West,South,571
10,8,4,1,4,3,3,1,5,1,7,1,11,-1,-1,-1,4,3,6,5,11,1,9,571,South,South,570
9,8,4,1,4,3,3,1,5,1,7,1,10,-1,-1,-1,4,3,5,5,10,1,10,570,South,West,569
8,8,4,1,4,4,3,1,5,1,7,1,8,-1,-1,-1,4,4,4,4,8,1,11,569,West,West,568
7,8,4,1,5,4,3,1,5,1,7,1,6,-1,-1,-1,5,4,2,4,6,1,12,568,West,West,567
6,8,4,1,5,3,3,1,5,1,7,1,6,-1,-1,-1,5,3,1,5,6,1,13,567,West,West,566
6,7,4,1,4,3,3,1,5,1,7,1,6,-1,-1,-1,4,3,2,4,6,1,14,566,West,South,565
6,6,4,1,4,3,3,1,5,1,7,1,5,-1,-1,-1,4,3,2,3,5,1,15,565,South,South,564
6,5,4,1,5,3,3,1,5,1,7,1,3,-1,-1,-1,5,3,1,2,3,1,16,564,South,South,563
3,6,4,4,7,5,10,6,11,4,18,6,5,7,10,14,7,5,4,1,5,0,-1,-4,East,East,-5
4,6,4,4,7,6,10,6,10,4,17,6,3,6,8,14,7,6,3,0,3,0,-1,-5,East,East,-6
5,6,4,4,7,5,10,6,10,3,18,6,3,5,8,13,7,5,2,1,3,0,-1,-6,East,East,-7
6,6,4,4,7,4,11,6,9,3,18,6,3,5,6,12,7,4,1,2,3,0,-1,-7,East,East,-8
7,6,4,4,6,4,11,6,10,3,18,6,3,4,6,12,6,4,1,2,3,0,-1,-8,East,East,-9
7,5,4,4,6,4,10,6,9,3,18,5,2,4,4,11,6,4,1,1,2,0,-1,-9,East,South,-10
