@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R32,35-weka.filters.unsupervised.attribute.Remove-R3,5-12,17-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
1,10,-1,-1,-1,5,5,10,1,10,False,False,False,False,7,6,10,9,South,West
1,8,-1,-1,-1,4,4,8,1,11,False,False,False,False,7,6,11,8,West,West
1,6,-1,-1,-1,2,4,6,1,12,False,False,False,False,7,6,12,7,West,West
1,6,-1,-1,-1,1,5,6,1,13,False,False,False,False,7,6,13,6,West,West
1,6,-1,-1,-1,2,4,6,1,14,False,False,False,False,8,5,13,6,West,South
1,5,-1,-1,-1,2,3,5,1,15,False,False,False,False,9,4,13,6,South,South
1,3,-1,-1,-1,1,2,3,1,16,False,False,False,False,10,3,13,6,South,South
4,5,7,10,14,4,1,5,0,-1,True,True,False,False,1,1,16,3,East,East
4,3,6,8,14,3,0,3,0,-1,True,True,False,False,1,1,15,4,East,East
4,3,5,8,13,2,1,3,0,-1,True,True,False,False,1,1,14,5,East,East
4,3,5,6,12,1,2,3,0,-1,True,True,False,False,1,1,13,6,East,East
4,3,4,6,12,1,2,3,0,-1,True,False,False,False,1,4,12,7,East,East
4,2,4,4,11,1,1,2,0,-1,False,False,True,True,2,3,1,1,East,South
4,2,5,2,13,2,0,2,0,-1,False,False,False,False,3,2,12,7,South,South
4,2,5,3,13,1,1,2,0,-1,True,False,False,False,1,2,13,6,South,West
4,1,5,5,15,0,1,1,0,-1,True,False,False,False,1,2,14,5,West,West
3,-1,5,5,15,2,3,5,0,-1,False,True,False,False,2,1,14,5,West,South
