@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R1-3,5-12-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R5'

@attribute num_fantasmas_vivos numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
2,20,0,20,1,False,False,False,False,7,4,7,3,West,West
2,19,0,19,1,False,True,False,False,2,1,8,2,West,West
2,18,0,18,1,False,False,False,True,3,4,9,1,West,West
2,18,1,19,1,False,False,False,False,2,5,9,12,West,North
2,17,1,18,1,False,True,False,False,11,1,10,11,North,West
2,16,1,17,1,True,False,False,False,1,2,11,10,West,West
2,15,1,16,1,False,False,False,False,11,5,12,9,West,West
2,14,1,15,1,False,False,False,False,11,5,13,8,West,West
2,13,1,14,1,True,False,False,False,1,2,14,7,West,West
2,12,1,13,1,False,False,False,False,11,5,15,6,West,West
2,11,1,12,1,False,False,False,False,11,5,16,5,West,West
2,10,1,11,1,True,False,False,False,1,2,17,4,West,West
2,9,1,10,1,False,False,False,False,4,5,18,3,West,West
2,8,1,9,1,False,False,False,False,11,5,19,2,West,West
2,9,0,9,1,False,False,False,True,10,6,2,1,West,North
2,9,1,10,1,False,False,False,False,9,7,10,10,North,North
2,8,1,9,1,True,True,False,False,1,1,11,9,North,West
2,7,1,8,1,False,False,False,False,9,2,12,8,West,West
2,6,1,7,1,False,False,False,False,4,7,13,7,West,West
2,5,1,6,1,True,True,False,False,1,1,14,6,West,West
2,4,1,5,1,False,False,False,False,4,7,15,5,West,West
2,3,1,4,1,False,False,False,False,4,7,16,4,West,West
2,2,1,3,1,True,True,False,False,1,1,17,3,West,West
2,1,1,2,1,False,False,False,False,9,7,18,2,West,West
2,0,1,1,1,False,False,False,True,9,7,19,1,West,West
1,1,2,3,1,False,False,False,True,10,6,2,1,West,South
1,0,2,2,1,False,False,True,False,10,6,1,2,South,East
4,0,2,2,6,False,False,False,False,5,8,6,8,Stop,East
4,1,1,2,7,False,False,False,False,4,9,6,13,East,North
3,6,1,7,6,False,False,False,False,4,9,5,14,North,East
3,4,1,5,7,False,False,False,False,4,9,6,13,East,West
3,2,1,3,8,False,False,False,False,4,9,7,12,West,West
3,1,1,2,9,False,False,False,False,4,9,8,11,West,West
3,0,1,1,10,False,False,False,False,4,9,9,10,West,West
2,3,6,9,11,False,False,False,False,3,10,9,10,West,North
2,2,6,8,12,False,False,False,False,3,10,10,9,North,West
2,2,6,8,13,False,False,False,False,3,10,11,8,West,West
2,0,6,6,14,False,False,False,False,3,10,12,7,West,West
2,1,5,6,13,False,False,False,False,4,9,12,7,West,South
2,1,5,6,14,False,False,False,False,4,9,13,6,South,West
2,1,5,6,13,False,False,False,False,4,9,12,7,West,East
2,1,5,6,12,False,False,False,False,4,9,11,8,East,East
2,0,5,5,13,False,False,False,False,4,9,12,7,East,West
2,0,5,5,12,False,False,False,False,5,8,12,2,West,South
2,1,4,5,11,False,False,False,False,6,7,12,7,South,South
2,1,4,5,12,False,False,False,False,6,7,13,6,South,West
2,1,4,5,11,False,False,False,False,6,7,12,7,West,East
2,0,3,3,10,False,False,False,False,6,7,11,8,East,East
2,0,3,3,11,False,False,False,False,7,6,11,8,East,South
2,0,1,1,12,False,False,False,False,8,5,11,8,South,South
1,7,1,8,13,False,False,False,False,9,4,11,8,South,South
1,7,1,8,12,False,False,False,False,9,4,10,9,South,East
1,6,2,8,11,False,False,False,False,9,4,9,10,East,East
1,5,2,7,10,False,False,False,False,9,4,8,11,East,East
1,3,2,5,9,False,False,False,False,9,4,7,12,East,East
1,2,3,5,8,False,False,False,False,9,4,6,13,East,East
1,1,3,4,7,False,False,False,False,9,4,5,14,East,East
1,0,4,4,6,False,False,False,False,9,4,4,15,East,East
1,1,3,4,5,False,False,False,False,8,5,4,15,East,North
1,0,2,2,6,False,False,False,False,8,5,5,14,North,West
1,0,2,2,5,False,False,False,False,7,6,5,14,West,North
4,6,0,6,-1,True,True,False,False,1,1,17,2,Stop,East
4,6,0,6,-1,True,True,False,False,1,1,16,3,East,East
4,6,0,6,-1,True,True,False,False,1,1,15,4,East,East
4,2,3,5,-1,True,True,False,False,1,1,14,5,East,East
4,1,3,4,-1,True,True,False,False,1,1,13,6,East,East
4,1,3,4,-1,True,False,False,False,1,4,12,7,East,East
4,1,1,2,-1,False,False,True,True,2,3,1,1,East,South
4,1,1,2,-1,False,False,False,False,3,2,12,7,South,South
4,1,1,2,-1,True,False,False,False,1,2,11,8,South,East
4,0,1,1,-1,True,False,False,False,1,2,10,9,East,East
3,1,1,2,-1,True,False,False,False,1,2,9,10,East,East
2,1,2,3,-1,True,False,False,False,1,2,10,9,East,West
2,0,2,2,-1,True,False,False,False,1,2,11,8,West,West
2,2,2,4,-1,False,False,False,False,3,2,12,7,West,West
2,1,1,2,-1,False,False,True,True,2,3,1,1,West,North
1,9,3,12,-1,True,False,False,False,1,4,12,7,North,North
1,8,3,11,-1,True,True,False,False,1,1,11,8,North,East
1,8,3,11,-1,True,True,False,False,1,1,10,9,East,East
1,6,3,9,-1,True,True,False,False,1,1,9,10,East,East
1,5,2,7,-1,True,True,False,False,1,1,8,11,East,East
