@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,2,-1,-1,8,19,6,2,8,0,-1,False,False,True,False,5,6,1,4,364,North,North,363
4,2,-1,-1,9,18,6,3,9,0,-1,False,False,True,False,4,7,1,4,363,North,North,362
4,2,-1,-1,10,17,6,4,10,0,-1,False,False,True,False,3,8,1,4,362,North,North,361
4,2,-1,-1,11,16,6,5,11,0,-1,False,False,True,False,2,9,1,4,361,North,North,360
4,2,-1,-1,12,15,6,6,12,0,-1,True,False,False,False,1,10,10,11,360,North,North,359
4,2,-1,-1,11,14,5,6,11,0,-1,True,True,False,False,1,1,9,12,359,North,East,358
4,2,-1,-1,10,13,4,6,10,0,-1,True,False,False,False,1,10,8,13,358,East,East,357
4,2,-1,-1,9,12,3,6,9,0,-1,False,False,False,False,7,10,7,14,357,East,East,356
4,2,-1,-1,8,13,3,5,8,0,-1,False,False,False,False,8,9,7,2,356,East,South,355
4,2,-1,-1,7,14,3,4,7,0,-1,False,False,False,False,9,8,12,2,355,South,South,354
4,2,-1,-1,6,15,3,3,6,0,-1,False,False,True,False,10,7,1,2,354,South,South,353
4,2,-1,-1,5,16,3,2,5,0,-1,False,False,False,False,11,6,12,2,353,South,South,352
4,2,-1,-1,4,17,3,1,4,0,-1,False,False,True,False,12,5,1,2,352,South,South,351
4,2,-1,-1,3,18,3,0,3,0,-1,False,False,False,False,13,4,12,2,351,South,South,350
4,2,-1,-1,2,17,2,0,2,0,-1,True,True,False,False,1,1,11,3,350,South,East,349
4,2,-1,-1,1,16,1,0,1,0,-1,True,True,False,False,1,1,10,4,349,East,East,548
4,1,-1,-1,-1,15,8,7,15,0,-1,True,False,False,False,1,4,9,5,548,East,East,547
4,1,-1,-1,-1,16,9,7,16,0,-1,True,True,False,False,1,1,10,4,547,East,West,546
4,1,-1,-1,-1,17,10,7,17,0,-1,True,True,False,False,1,1,11,3,546,West,West,545
4,1,-1,-1,-1,18,11,7,18,0,-1,False,False,False,False,13,4,12,2,545,West,West,544
4,1,-1,-1,-1,17,11,6,17,0,-1,False,False,True,False,12,5,1,2,544,West,North,543
4,1,-1,-1,-1,16,11,5,16,0,-1,False,False,False,False,11,6,12,2,543,North,North,542
4,1,-1,-1,-1,15,11,4,15,0,-1,False,False,True,False,10,7,1,2,542,North,North,541
4,1,-1,-1,-1,14,11,3,14,0,-1,False,False,False,False,9,8,12,2,541,North,North,540
4,1,-1,-1,-1,13,10,3,13,0,-1,False,True,False,False,3,1,11,3,540,North,East,539
4,1,-1,-1,-1,12,9,3,12,0,-1,False,True,False,False,3,1,10,4,539,East,East,538
4,1,-1,-1,-1,11,8,3,11,0,-1,False,True,False,False,9,1,9,5,538,East,East,537
