@relation pacman-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute dir_pacman {Stop,East,West,North,South}

@data
5,3,0,0,East
6,3,0,0,East
6,4,0,0,North
6,5,0,0,North
6,5,0,0,North
6,5,0,0,North
7,5,0,0,East
8,5,0,0,East
8,4,0,0,South
8,3,0,0,South
7,3,0,0,West
6,3,0,0,West
5,3,0,0,West
4,3,0,0,West
3,3,0,0,West
2,3,0,0,West
1,3,0,0,West
1,4,0,0,North
1,5,0,0,North
1,6,0,0,North
1,7,0,0,North
2,7,0,0,East
3,7,0,0,East
4,7,0,0,East
4,8,0,0,North
4,9,0,0,North
4,9,0,0,North
4,9,0,0,North
5,9,0,0,East
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
11,11,2,4,East
12,11,2,3,East
13,11,2,2,East
14,11,2,1,East
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
14,7,1,5,South
14,6,1,4,South
14,5,1,5,South
15,5,1,6,East
16,5,1,7,East
17,5,1,8,East
18,5,1,9,East
18,5,1,9,East
18,5,1,9,East
18,6,1,8,North
18,7,1,9,North
18,8,1,10,North
17,8,1,9,West
16,8,1,8,West
15,8,1,7,West
14,8,1,6,West
13,8,1,5,West
12,8,1,4,West
12,8,1,4,West
12,8,1,4,West
12,8,1,4,West
12,9,1,5,North
12,9,1,5,North
11,9,1,4,West
10,9,1,3,West
9,9,1,4,West
8,9,1,5,West
7,9,1,6,West
7,8,1,5,South
7,7,1,4,South
7,7,1,4,South
7,7,1,4,South
7,7,1,4,South
8,7,1,3,East
9,7,1,2,East
10,7,1,1,East
10,7,1,1,East
10,7,1,1,East
10,7,1,1,East
10,7,1,1,East
10,6,0,0,South
10,5,0,0,South
10,6,0,0,North
10,7,0,0,North
10,8,0,0,North
10,9,0,0,North
9,9,0,0,West
8,9,0,0,West
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
10,10,2,4,South
10,9,2,3,South
10,8,2,2,South
10,7,2,1,South
9,7,2,2,West
8,7,2,3,West
7,7,2,4,West
6,7,2,5,West
5,7,2,6,West
4,7,2,7,West
3,7,2,8,West
2,7,2,9,West
1,7,2,10,West
1,7,2,10,West
2,7,2,9,East
3,7,2,8,East
4,7,2,7,East
5,7,2,6,East
6,7,2,5,East
7,7,2,4,East
8,7,2,3,East
9,7,2,2,East
10,7,2,1,East
10,6,1,8,South
10,5,1,9,South
9,5,1,10,West
8,5,1,11,West
7,5,1,12,West
6,5,1,13,West
5,5,1,14,West
4,5,1,15,West
5,5,1,14,East
6,5,1,13,East
7,5,1,12,East
8,5,1,11,East
8,6,1,10,North
8,7,1,9,North
8,8,1,8,North
8,9,1,7,North
9,9,1,6,East
10,9,1,5,East
11,9,1,4,East
12,9,1,3,East
13,9,1,2,East
14,9,1,1,East
15,9,1,2,East
16,9,1,3,East
17,9,1,4,East
18,9,1,5,East
18,10,1,4,North
18,11,1,5,North
18,11,1,5,North
18,11,1,5,North
18,11,1,5,North
17,11,1,4,West
16,11,1,3,West
15,11,1,2,West
14,11,1,1,West
14,10,0,0,South
14,9,0,0,South
15,9,0,0,East
16,9,0,0,East
17,9,0,0,East
18,9,0,0,East
18,9,0,0,East
18,9,0,0,East
18,8,0,0,South
18,7,0,0,South
18,6,0,0,South
18,5,0,0,South
17,5,0,0,West
16,5,0,0,West
15,5,0,0,West
14,5,0,0,West
14,6,0,0,North
14,7,0,0,North
14,8,0,0,North
14,9,0,0,North
14,10,0,0,North
14,11,0,0,North
15,11,0,0,East
16,11,0,0,East
17,11,0,0,East
18,11,0,0,East
18,10,0,0,South
18,9,0,0,South
