@relation pacman-weka.filters.unsupervised.attribute.Remove-R24-31

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
14,7,4,2,1,8,2,6,5,1,7,1,14,13,-1,-1,2,6,12,1,13,294,1,4654,West,West,4753
13,7,4,2,1,8,2,6,5,1,7,1,13,12,-1,-1,2,6,11,1,12,293,1,4753,West,West,4852
12,7,4,2,1,8,2,6,5,1,7,1,12,11,-1,-1,2,6,10,1,11,292,1,4852,West,West,4951
11,7,4,2,1,8,2,6,5,1,7,1,11,10,-1,-1,2,6,9,1,10,291,1,4951,West,West,5050
10,7,4,2,1,8,2,6,5,1,7,1,10,9,-1,-1,2,6,8,1,9,290,1,5050,West,West,5149
10,8,4,2,1,8,2,6,5,1,7,1,9,10,-1,-1,1,8,9,0,9,289,1,5149,West,North,5248
10,9,4,2,1,8,2,6,5,1,7,1,10,11,-1,-1,1,8,9,1,10,288,1,5248,North,North,5347
9,9,4,2,1,8,2,6,5,1,7,1,9,10,-1,-1,1,8,8,1,9,287,1,5347,North,West,5446
8,9,4,2,1,8,2,6,5,1,7,1,8,9,-1,-1,1,8,7,1,8,286,1,5446,West,West,5545
7,9,4,2,1,8,2,6,5,1,7,1,7,8,-1,-1,1,8,6,1,7,285,1,5545,West,West,5644
6,9,4,2,1,8,2,6,5,1,7,1,6,7,-1,-1,1,8,5,1,6,284,1,5644,West,West,5743
5,9,4,2,1,8,2,6,5,1,7,1,5,6,-1,-1,1,8,4,1,5,283,1,5743,West,West,5842
4,9,4,2,1,8,2,6,5,1,7,1,4,5,-1,-1,1,8,3,1,4,282,1,5842,West,West,5941
3,9,4,2,1,8,2,6,5,1,7,1,3,4,-1,-1,1,8,2,1,3,281,1,5941,West,West,6040
2,9,4,2,1,8,2,6,5,1,7,1,2,3,-1,-1,1,8,1,1,2,280,1,6040,West,West,6139
1,9,4,2,1,8,2,6,5,1,7,1,1,4,-1,-1,1,8,0,1,1,279,1,6139,West,West,6338
1,8,4,1,1,1,2,6,5,1,7,1,-1,3,-1,-1,2,6,1,2,3,279,1,6338,West,South,6437
2,8,4,1,1,1,2,6,5,1,7,1,-1,2,-1,-1,2,6,0,2,2,278,1,6437,South,East,6536
13,10,4,4,5,6,6,12,12,6,13,12,12,9,5,3,13,12,0,2,2,1,6,-1,Stop,East,-2
13,11,4,4,5,5,7,12,12,7,14,12,14,7,5,1,14,12,1,1,2,1,7,-2,East,North,197
14,11,4,3,5,5,8,12,12,6,7,1,15,7,7,-1,8,12,6,1,7,1,6,197,North,East,196
13,11,4,3,5,4,9,12,12,7,7,1,15,5,5,-1,9,12,4,1,5,1,7,196,East,West,195
12,11,4,3,6,4,10,12,12,6,7,1,13,3,5,-1,10,12,2,1,3,1,8,195,West,West,194
11,11,4,3,7,4,10,12,12,5,7,1,11,2,7,-1,10,12,1,1,2,1,9,194,West,West,193
10,11,4,3,7,5,10,12,13,5,7,1,9,1,9,-1,10,12,0,1,1,1,10,193,West,West,392
10,12,4,2,7,6,3,1,13,4,7,1,9,-1,11,-1,7,6,3,6,9,1,11,392,West,North,391
9,12,4,2,7,6,3,1,13,3,7,1,8,-1,13,-1,7,6,2,6,8,1,12,391,North,West,390
8,12,4,2,6,6,3,1,14,3,7,1,8,-1,15,-1,6,6,2,6,8,1,13,390,West,West,389
7,12,4,2,7,6,3,1,14,4,7,1,6,-1,15,-1,7,6,0,6,6,1,14,389,West,West,388
7,11,4,2,6,6,3,1,14,4,7,1,6,-1,14,-1,6,6,1,5,6,1,13,388,West,South,387
6,11,4,2,7,6,3,1,13,4,7,1,6,-1,14,-1,7,6,1,5,6,1,14,387,South,West,386
7,11,4,2,8,6,3,1,13,5,7,1,6,-1,12,-1,8,6,1,5,6,1,13,386,West,East,385
8,11,4,2,7,6,3,1,13,5,7,1,6,-1,11,-1,7,6,1,5,6,1,12,385,East,East,384
7,11,4,2,7,6,3,1,14,5,7,1,5,-1,13,-1,7,6,0,5,5,1,13,384,East,West,383
7,10,4,2,7,5,3,1,15,5,7,1,5,-1,13,-1,7,5,0,5,5,1,12,383,West,South,382
7,9,4,2,6,5,3,1,15,6,7,1,5,-1,11,-1,6,5,1,4,5,1,11,382,South,South,381
6,9,4,2,7,5,3,1,16,6,7,1,5,-1,13,-1,7,5,1,4,5,1,12,381,South,West,380
7,9,4,2,8,5,3,1,16,5,7,1,5,-1,13,-1,8,5,1,4,5,1,11,380,West,East,379
8,9,4,2,8,6,3,1,15,5,7,1,3,-1,11,-1,8,6,0,3,3,1,10,379,East,East,378
8,8,4,2,8,5,3,1,15,6,7,1,3,-1,9,-1,8,5,0,3,3,1,11,378,East,South,377
8,7,4,2,8,6,3,1,15,6,7,1,1,-1,8,-1,8,6,0,1,1,1,12,377,South,South,576
8,6,4,1,1,1,3,1,15,7,7,1,-1,-1,8,-1,15,7,7,1,8,1,13,576,South,South,575
